reporting,partner,partner type,year,import,export,total,currency,source
UnitedKingdom,Worldbestguess,,1823,44800000,35400000,80200000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1824,43941042.4327563,38611808.4534975,82552850.8862538,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1824,43700000,38400000,82100000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1824,51200000,,51200000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1824,43700000,38400000,82100000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1825,65797825.135929,39136626.8774868,104934452.01341581,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1825,65400000,38900000,104300000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1825,73600000,,73600000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1825,65400000,38900000,104300000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1826,43381249.8721489,31705553.8508745,75086803.7230234,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1826,43100000,31500000,74600000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1826,50400000,,50400000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1826,43100000,31500000,74600000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1827,52225373.8935802,37361229.0161766,89586602.9097568,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1827,52000000,37200000,89200000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1827,58800000,,58800000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1827,52000000,37200000,89200000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1828,51016346.4085583,36956723.3825777,87973069.791136,sterling pound,FEDERICO-TENA
