SHIP_NAME	CAPTAIN_NAME	CAPTOR_NAME	TONNAGE	CREW_SIZE	DAY_CAPTURE	MNTH_CAPTURE	YEAR_CAPTURE	HCA
SULTANA	GOUY	WARRENS SQ	100	0	27	4	96	HCA34-61
SULTANA FAVORITE	BERNARD	CONCORD	100	0	13	5	96	HCA34-61
SUPERBE	FREMONT	HIND	200	0	15	4	93	HCA32-845
SUPREME	ROUILLAND	O	400	29	18	5	93	HCA32-835
SURPRIZE	BARBIER	BRAVE	31	2	2	10	0	HCA34-63
SURPRIZE	LEGREAND	ORPHEUS FR	590	0	20	9	93	HCA34-61
SURVEILLANT	VIDEAU	ALCMENE	61	57	3	5	97	HCA34-62
TARTARE	LE CONTE	CLEOPATRA	100	57	31	7	98	HCA34-62
TARTARE	O	GREYHOUND	290	61	17	3	97	HCA34-62
TARTU	MAJENDIE	POLYPHEMUS	63	20	24	2	97	HCA34-62
TELE	SATIVIN	MELPOMENE	280	66	4	4	99	HCA34-63
TELEGRAPH	GUILLEMIN	KANGAROO	60	75	24	4	0	HCA34-63
TELEMARQUE	YOU	SPEEDWELL LR	280	35	12	12	97	HCA34-62
TEMERAIRE	CUGNEAU	INDEFATIGABLE	100	0	5	5	95	HCA34-61
TEMERAIRE	DUBOIS	DASHER	280	0	16	7	1	HCA34-63
TERRIBLE	LACAM	HAZARD	61	6	27	9	96	HCA34-61
TERRIBLE	LUCEA	ROSE CUTTER	70	29	2	6	96	HCA34-61
TERRIBLE	TRAVERSE	PENGUIN	60	21	11	8	97	HCA34-62
THAMISE	FRADEN	STA MARGARETTA	293	6	20	7	96	HCA34-61
THEMISTOCLE	BEGOUSEAUX	DISPATCH	110	0	31	1	0	HCA34-63
THERESE DE SAINT MALO	ROUX	LOTTERY PR	140	0	26	2	98	HCA34-62
THETIS	PINSEN	AMETHYST	284	25	16	12	8	HCA34-65
TIERCELET	MARTIN	MAGNANIME	60	68	22	9	97	HCA34-62
TIGER	REDOUT	BRIDPORTS SQ	297	26	7	9	95	HCA34-61
TIGRE	AGARRAL	NAIAD	280	39	2	10	98	HCA34-62
TIGRE	BEYMUSSET	MELPOMENE	280	86	8	1	99	HCA34-63
TREMPEUSE	LE BILLER	IPHIGENIE	281	1	21	2	94	HCA34-61
TRIBUNE	MOULSON	UNICORN	293	39	22	7	96	HCA34-61
TRITON	LEQUE	MELPOMONE	280	71	22	3	98	HCA34-62
TRITON	O	MINERVA	160	0	2	11	98	HCA34-62
TRITON	PERRET	MAGNANIME	61	63	7	9	97	HCA34-62
TROIS AMIS	GOUTIER	LIZARD FRIGATE	440	25	25	4	93	HCA34-61
TROIS AMIS	MACE	VULTURE PR	140	0	10	1	98	HCA34-62
TROIS COULEURS	BOURDAIN	VICTORIEUSE	340	33	27	1	1	HCA34-60
TROIS COULEURS	NAZARAU	PHOEBE	100	69	21	7	96	HCA34-61
TROIS ELIZABETH	LAFFON	MARQUIS OF TOURS	140	0	2	10	1	HCA34-63
TROIS FRERES	DE SAUNIEZ	GRAND FALCONER	290	0	13	6	97	HCA34-62
TROIS FRERES	RATOUIT	ALARM	110	0	2	12	0	HCA34-63
TROIS JEUNES AMIS	DIGART	HIRONDELLE	280	0	23	10	1	HCA34-63
TROIS SOEURS	GOTHIER	MERCURY	180	83	3	5	98	HCA34-62
TROIS SOEURS	JEZEGABEL	SPRIGHTLY	110	0	28	6	93	HCA34-61
TROIS SOEURS	LOGET	TRITON	100	0	4	11	97	HCA34-62
TROMPEUR	FRIGOULT	FLY SLOOP	290	12	28	11	0	HCA34-60
TROMPEUR	FROMEN	SPITFIRE	280	38	13	6	97	HCA34-62
TUROT	TUROT	LION CUTTER	120	25	14	10	96	HCA34-61
UNI	HODOUL	ARROGANT	210	13	22	5	1	HCA34-63
UNION	NEEL	CHARLOTTE	140	0	1	8	93	HCA34-61
UNION	O	WARRENS SQ	100	0	13	5	96	HCA34-61
UNION	PRAT	VULTURE	510	0	22	5	95	HCA34-61
UNION	ROUY	RESOLUTION	110	0	12	7	93	HCA34-61
UNITE	DURAND	REVOLUTIONAIRE	292	55	6	6	96	HCA34-61
UNITE	ROBERT	ST FIORENZO	290	58	13	6	97	HCA34-62
UNITE	THIBAUT	REVENGE PR	140	0	7	10	99	HCA34-63
URSULE	NEROS	UNICORN	280	0	17	2	0	HCA34-63
UTILE	LE ANGLAIS	BOADICIA	291	0	10	5	99	HCA34-63
VA TOUT	MAHE	IMPETUEUX	290	29	11	5	97	HCA34-62
VAILLANT	VERNIER	AMETHYST	281	34	8	4	0	HCA34-63
VAILLANT CUSTINE	TACH	LIZARD	370	32	16	4	93	HCA34-61
VAILLANTE	LA PORTE	INDEFATIGABLE	282	11	12	9	98	HCA34-62
VAINQUEUR	ROUX	ANSON	280	0	13	6	0	HCA34-63
VALEUR	COWEL	LORD HAWKE PR	280	42	9	11	98	HCA34-62
VAUTOUR	BORACH	DRYAD	60	78	2	12	96	HCA34-61
VENGEANCE	GRANDIDIER	NEREIDE	281	74	8	4	0	HCA34-63
VENGEANCE	L EVEILLE	MINERVE	181	31	31	7	0	HCA34-63
VENGEANCE	SAILLARD	GANNET	380	43	12	5	1	HCA34-63
VENGEUR	AUDINET	INDEFATIGABLE	281	3	31	7	0	HCA34-63
VENGEUR	JACQUES	MARTIN	200	97	28	6	99	HCA34-63
VENGEUR	LE ROY	SWAN CUTTER	450	17	14	8	1	HCA34-60
VENGEUR	LECOLLIER	CAMBRIAN	100	72	26	2	98	HCA34-62
VENGEUR	MICHEL	STA MARGUERITA	61	4	2	12	96	HCA34-61
VENUS	BOUVRAND	INDEFATIGABLE	281	91	9	12	0	HCA34-63
VENUS	ESCALIER	JASON	290	35	26	2	1	HCA34-60
VENUS	KNELL	INDEFATIGABLE	280	74	16	7	99	HCA34-63
VESOUVE	GUIDELON	MELAMPUS	140	50	9	1	96	HCA34-61
VESTAILE	GASPARD	CLYDE	282	30	3	10	99	HCA34-63
VICTOIRE	DAMBOURGES	REVOLUTIONAIRE	61	57	23	7	99	HCA34-63
VICTOIRE	DEVILLE	LADY ANN	370	64	17	7	1	HCA34-63
VICTOIRE	GRESILLE	ESPEIGLE	370	22	14	11	97	HCA34-62
VICTOIRE	GRUGER	LEOPARD	100	0	4	5	93	HCA34-61
VICTOIRE	HERBERT	EARL OF DERBY	190	0	15	6	93	HCA34-61
VICTOIRE	LE GALL	TRITON	280	0	27	7	99	HCA34-63
VICTOIRE	PERADO	BITTERN	280	0	14	10	96	HCA34-61
VICTOIRE	TARRAGNO	TERMAGENT	130	37	26	2	98	HCA34-62
VICTORIEUSE	SALAUNT	MINOTAUR	291	26	2	10	95	HCA34-61
VICTORIEUX	GENTRY	MINERVE	180	0	27	1	1	HCA34-60
VICTORIEUX	HUSTON	BRILLIANT	530	30	14	11	97	HCA34-62
VICTORINE	RAGUIDEAU	STA MARGUERITA	60	73	22	9	97	HCA34-62
VICTORY	LE PERSORE	EAGLE PRIVATEER	100	0	24	4	98	HCA34-62
VIDETTE	HADRIAN	TRITON	280	74	8	4	0	HCA34-63
VIETHUSE	HALGAN	EXCELLENT	281	41	22	11	99	HCA34-63
VIGIE	DUHALDE	RESOLUTION	100	74	2	8	99	HCA34-60
VIGILANT	LE QUEC	DESPATCH	110	0	11	2	0	HCA34-63
VIGILANT	O	PELLEWS SQ	100	0	3	9	0	HCA34-60
VIGILANT	O	SWALLOW CR	410	18	27	9	96	HCA34-61
VIGILENT	MASON	CHILDERS	280	29	4	11	95	HCA34-61
VIGOREUSE	GRANGER	CAMPERDOWN	90	18	28	3	0	HCA34-63
VILLE DE L ORIENT	DE REWNES	UNICORN	61	7	24	2	96	HCA34-62
VIRGIN	BERGNET	INDEFATIGABLE	103	39	2	6	96	HCA34-62
VIRGINIE	SEVIER	LATONA	370	58	19	6	0	HCA34-63
VOLAGE	DESAGNEAUX	MELAMPUS	281	96	15	3	98	HCA34-62
VOLONTAIRE	BRETEL	DIADEM	43	60	24	10	6	HCA34-64
VOLTIGEUR	LION	VESTAL	130	40	15	5	97	HCA34-62
VOLTIGEUR	TERANCEAU	EURIDICE	90	23	21	6	97	HCA34-62
VOYAGEUR	COLBERT	FAVOURITE	370	47	26	2	1	HCA34-60
VRAI DECIDE	DESGARDIN	MACOON	90	41	28	1	0	HCA34-63
VRAI PATRIOTE	DIVELLE	DIDO FRIGATE	200	45	23	10	93	HCA34-61
ZELIE	GONIDEC	STAG CUTTER	280	44	26	2	98	HCA34-62
ZEPHIR	SEGOND	ANSON FRIGATE	100	70	22	12	97	HCA34-62
ZOEE	BONTEL	PHAETON	281	30	31	7	97	HCA34-62
