SHIPNAME	GETM	CAPTAINNAME	OWNER	PORT	TONNAGE	CANONS	CARRON	SWIVEL	CREW	CAPTURED/NOT	UNDOC_1	CRUISEYEAR	UNDOC_2	CONSTRUCTION_YEAR
BON MARCEL		LASALLE DENIS	VERSIAL ANTOINE	BOU	69	14			78			1809		1809
BON ORDRE		NOSTEN	TIMOR ET DELANDE	GRA	100	16			58		1	1798		1796
BON ORDRE		EUDE JEAN	DESLANDES	GRA	100	16			58	T		1799		1796
BONAPARTE		RAIMOND HOU	ACHTE	BRE	150	16				T		1796		
BONAPARTE		MUELENAER JN		DUN		15			24			1797		
BONAPARTE		POLLET JEAN	DUJAT WALLET	BOU					46			1799		
BONAPARTE		DONZELLA CHAS	SISCO ANT	GEN								1800		
BONHEUR		BUMEL MICHEL	CHANTEREYNE FRAN	CHE	18				24			1796		
BONHEUR		BUMEL MICHEL	CHANTEREYNE FRAN	CHE	18				24	T		1797		
BONHEUR		FOLLIOT	ALLARD	CAL	130	14			52			1803	2	1799
BONHEUR		FOLLIOT	ALLARD	CAL	130	14			52			1804		
BONHEUR		FOLLIOT	ALLARD	CAL	130	14			52			1805		
BONNE AVENTURE		BERDOISE BERN	RECUR	BAY	150	16			147			1797		
BONNE ESPERANCE		HOSMONT	CHANTEREYNE	CHE	11							1802		
BONNE ESPERANCE PR		LION FRANCOIS	RICHER FRANCOIS	CHE	18			2	30	T		1796		
BONNE LOUISE	G ET M	DAVID	DAVID BALGUERIE	BOR	291	10	C		37	T		1808		
BONNE NUIT			LAFONTAINE GUILL	BOU								1803		
BONS AMIS		DUCHESNE JN	TIESSET	BOU	7							1797		
BONS AMIS		PERRIER	HAVARD PIERRE	STM	12	1			17			1800		1799
BONS AMIS PRIZE		BOSSINET	DESPECHERS DUPUY F	STM	35	4			35	T		1797		
BOUGAINVILLE			DUBOIS BEN	STM	128	12			68			1797		
BOUGAINVILLE		GUILLANT	DUBOIS BEN	STM	128	12			68			1798		
BOUGAINVILLE		GUILLANT	DUBOIS BEN	STM	128	14			75			1799		
BOUGAINVILLE		DUPONT	DUBOIS BEN	STM	128	14			75			1800		
BOUGAINVILLE		DUPONT	LESNARD ET DUHAMEL	STM	256	18			82	T		1800		1799
BOUGAINVILLE		LE BON	DUBOIS FRS ET CIE	STM	128	8	4		68	T		1801		
BOUGAINVILLE		DEBON JACQUES	DUBOIS ALEX	STM	150	14			116			1806	1	1804
BOUGAINVILLE		DEBON JACQUES	DUBOIS ALEX	STM	150	14			116	T		1807		1804
BOUILLON		VICOLLET PRE	GREMEL ET CIE	BRE					26	T		1797		
BOULLONAIS		CARY PIERRE	DAUCHY OF PARIS	HAV	111							1797		
BOULLONAIS		BARBIER D	DAUCHY OF PARIS	DUN	111	14			70			1798		
BOULLONAIS		BARBIER D	DAUCHY OF PARIS	DUN	111	14			70	T		1799		
BRACONNIER		PINABET	MOSQUERON ET HAVEL	CHE	7	2		1	14			1800		1798
BRACONNIER			FOLLIN J	FEC								1810	1	
BRACONNIER			FOLLIN J	FEC								1811		
BRAVE									25	T		1796		
BRAVE		ROBIN MARTIN	ROBIN ET MAUCLERE	NAN	600	18			154	T	1	1798		
BRAVE									50	T		1801		
BRAVE		PAGELET	MARION FRERES	STM	225	6	8		137			1803	1	
BRAVE		PAGELET	MARION FRERES	STM	225	6	8		137	T		1804		
BRAVE		QUONIAM	LACOMBE DANIEL	SNT								1805		
BRAVE			FONTAINE	BOU		14			50			1806		
BRAVE		COUTEUX JACQ	REANTZ DEVRIES	CAL	44	16			26			1806	1	1805
BRAVE		COUTEUX JACQ	REANZ DEVRIES	CAL	44	16			26	T		1807		1805
BRAVE		MOREL PIERRE	REANTZ DEVRIES	DUN	85	4	8					1808	2	
BRAVE			PHILIPPE	CAL								1809		
BRAVE		MOREL PIERRE	REANTZ DEVRIES	DUN	85	4	8					1809		
BRAVE		MOREL PIERRE	REANZ DEVRIES	DUN	85	4	8					1810		
BRAVE				AMS								1811		
