"year","colonies","france"
1778,"Inde",0
1779,"Inde",0
1780,"Inde",0
1781,"Inde",0
1782,"Inde",0
1783,"Inde",0
1784,"Inde",0
1785,"Inde",0
1786,"Inde",0
1787,"Inde",0
1788,"Inde",0
1789,"Inde",0
1790,"Inde",0
1791,"Inde",0
1792,"Inde",0
1793,"Inde",0
1794,"Inde",0
1795,"Inde",0
1796,"Inde",0
1797,"Inde",0
1798,"Inde",0
1799,"Inde",0
1800,"Inde",0
1801,"Inde",0
1802,"Inde",0
1803,"Inde",0
1804,"Inde",0
1805,"Inde",0
1806,"Inde",0
1807,"Inde",0
1808,"Inde",0
1809,"Inde",0
1810,"Inde",0
1811,"Inde",0
1812,"Inde",0
1813,"Inde",0
1814,"Inde",0
1815,"Inde",0
1816,"Inde",0
1817,"Inde",0
1818,"Inde",0
1819,"Inde",0
1820,"Inde",0
