
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="",="(-5.56)",="(-5.59)",="",="(-5.70)",="(-5.70)"

="Hollande # Coffee # year",="",="-0.0547*",="-0.0499*",="",="-0.0444",="-0.0432"
="",="",="(-2.21)",="(-2.01)",="",="(-1.77)",="(-1.72)"

="Hollande # Eau de vie # year",="",="-0.0581*",="-0.0534*",="",="-0.0341",="-0.0345"
="",="",="(-2.37)",="(-2.17)",="",="(-1.37)",="(-1.39)"

="Hollande # Other # year",="",="-0.0145",="-0.00984",="",="0.00352",="0.00203"
="",="",="(-0.59)",="(-0.40)",="",="(0.14)",="(0.08)"

="Hollande # Sugar # year",="",="-0.126***",="-0.121***",="",="-0.111***",="-0.110***"
="",="",="(-5.09)",="(-4.89)",="",="(-4.43)",="(-4.38)"

="Hollande # Wine # year",="",="-0.0252",="-0.0205",="",="-0.00792",="-0.0104"
="",="",="(-1.03)",="(-0.84)",="",="(-0.32)",="(-0.42)"

="Italie # Coffee # year",="",="-0.0347",="-0.0292",="",="-0.0301",="-0.0283"
="",="",="(-1.42)",="(-1.19)",="",="(-1.21)",="(-1.14)"

="Italie # Eau de vie # year",="",="-0.000449",="0.00491",="",="0.0185",="0.0188"
="",="",="(-0.02)",="(0.20)",="",="(0.75)",="(0.76)"

="Italie # Other # year",="",="0.0145",="0.0199",="",="0.0270",="0.0258"
="",="",="(0.60)",="(0.82)",="",="(1.10)",="(1.05)"

="Italie # Sugar # year",="",="-0.0474",="-0.0421",="",="-0.0367",="-0.0355"
="",="",="(-1.96)",="(-1.73)",="",="(-1.49)",="(-1.44)"

="Italie # Wine # year",="",="0.0115",="0.0168",="",="0.0230",="0.0210"
="",="",="(0.47)",="(0.69)",="",="(0.94)",="(0.85)"

="Levant et Barbarie # Coffee # year",="",="-0.136***",="-0.137***",="",="-0.139***",="-0.137***"
="",="",="(-5.47)",="(-5.46)",="",="(-5.53)",="(-5.43)"

="Levant et Barbarie # Eau de vie # year",="",="-0.0570*",="-0.0572*",="",="-0.0459",="-0.0450"
="",="",="(-2.33)",="(-2.33)",="",="(-1.86)",="(-1.82)"

="Levant et Barbarie # Other # year",="",="0.00510",="0.00449",="",="0.0104",="0.00908"
="",="",="(0.21)",="(0.18)",="",="(0.42)",="(0.37)"

="Levant et Barbarie # Sugar # year",="",="-0.0918***",="-0.0926***",="",="-0.0889***",="-0.0878***"
="",="",="(-3.71)",="(-3.73)",="",="(-3.55)",="(-3.50)"

="Levant et Barbarie # Wine # year",="",="-0.0162",="-0.0164",="",="-0.0119",="-0.0136"
="",="",="(-0.66)",="(-0.67)",="",="(-0.48)",="(-0.55)"

="Nord # Coffee # year",="",="0.00192",="0.00509",="",="0.00376",="0.00504"
="",="",="(0.08)",="(0.21)",="",="(0.15)",="(0.20)"

="Nord # Eau de vie # year",="",="-0.00763",="-0.00444",="",="0.00835",="0.00859"
="",="",="(-0.32)",="(-0.18)",="",="(0.34)",="(0.35)"

="Nord # Other # year",="",="0.0604*",="0.0636**",="",="0.0700**",="0.0687**"
="",="",="(2.50)",="(2.62)",="",="(2.84)",="(2.79)"

